character,reading,meaning,level,level_label,radical,stroke_count
腓,비,장딴지,0,특급,肉,8
痹,비,저릴,0,특급,疒,8
畀,비,줄,0,특급,田,3
朏,비,초승달,0,특급,月,5
俾,비,하여금,0,특급,人,8
駓,비,황부루,0,특급,馬,5
伾,비,힘셀,0,특급,人,5
邠,빈,나라이름,0,특급,邑,4
豳,빈,나라이름,0,특급,豕,10
蘋,빈,마름,0,특급,艸,16
擯,빈,물리칠,0,특급,手,14
鬢,빈,살쩍,0,특급,髟,14
繽,빈,어지러울,0,특급,糸,14
璸,빈,옥의무늬,0,특급,玉,14
儐,빈,인도할,0,특급,人,14
蠙,빈,진주조개,0,특급,虫,14
葸,사,겁낼,0,특급,艸,9
汜,사,늪,0,특급,水,3
蓰,사,다섯곱,0,특급,艸,11
簑,사,도롱이,0,특급,竹,10
耜,사,따비/보습,0,특급,耒,5
戺,사,문지방,0,특급,戶,3
涘,사,물가,0,특급,水,7
鯊,사,상어/모래무지,0,특급,魚,7
糸,사,실,0,특급,糸,0
笥,사,옷상자,0,특급,竹,5
榭,사,정자/사당,0,특급,木,10
蹝,사,천천히걸을,0,특급,足,11
傞,사,취한춤,0,특급,人,10
鑠,삭,쇠녹일,0,특급,金,15
潸,산,눈물줄줄흘릴,0,특급,水,12
歃,삽,마실,0,특급,欠,9
塽,상,높고밝은땅,0,특급,土,11
殤,상,어려서죽을,0,특급,歹,11
顙,상,이마,0,특급,頁,10
鱨,상,자가사리/날치,0,특급,魚,14
眚,생,재앙,0,특급,目,5
癙,서,근심병,0,특급,疒,13
紓,서,늘어질,0,특급,糸,4
澨,서,물가,0,특급,水,13
婿,서,사위,0,특급,女,9
諝,서,슬기,0,특급,言,9
噬,서,씹을,0,특급,口,13
藇,서,아름다울,0,특급,艸,14
鱮,서,연어,0,특급,魚,14
湑,서,이슬맺힐,0,특급,水,9
鉐,석,놋쇠,0,특급,金,5
鼫,석,다람쥐,0,특급,鼠,5
裼,석,벗어맬,0,특급,衣,8
舃,석,신,0,특급,臼,6
螫,석,쏠,0,특급,虫,11
腊,석,육포,0,특급,肉,8
僎,선,갖출,0,특급,人,12
愃,선,상쾌할,0,특급,心,9
珗,선,옥돌,0,특급,玉,6
墠,선,제터,0,특급,土,12
毨,선,털갈,0,특급,毛,6
墡,선,흰흙,0,특급,土,12
紲,설,고삐,0,특급,糸,5
挈,설,끌,0,특급,手,6
偰,설,맑을,0,특급,人,9
絏,설,맬,0,특급,糸,6
暬,설,설만할,0,특급,日,11
憸,섬,아첨할,0,특급,心,13
韘,섭,깍지,0,특급,韋,9
騂,성,붉은소,0,특급,馬,7
娍,성,아름다울,0,특급,女,7
瑆,성,옥빛,0,특급,玉,9
帨,세,수건,0,특급,巾,7
蛸,소,갈거미,0,특급,虫,7
蠨,소,갈거미,0,특급,虫,17
艘,소,고물(船尾),0,특급,舟,10
繅,소,고치켤,0,특급,糸,11
